---,EnemyID,DisplayName,DifficultyID,ThemeID,FamilyID,RoleID,StatusEffectOnHit,ProjectileCategory,ProjectileVisualProfileID,ProjectileMesh,ProjectileMeshScale,VisualConcept,ImagePrompt,ModelStatus,Archetype,Feeling,Rarity,StageTag,PrimaryColor,SecondaryColor,XPValue
ThornImp,ThornImp,Thorn Imp,Medium,Forest,Ranged,Ranged,None,DOT,,,1,Body: Small spiked humanoid creature Face: Thorn-horn on forehead (sole facial feature),Generate a clean game enemy concept of Thorn Imp: Small spiked humanoid creature; Thorn-horn on forehead (sole facial feature). Use Dark green and Bright pink. Transparent background.,MeshReady,Ranged,DodgeThreat,Core,Forest,Dark green,Bright pink,20
TuskerBoar,TuskerBoar,Tusker Boar,Medium,Forest,Rush,Rush,None,DOT,,,1,Body: Quadruped boar with full boar anatomy Face: Two protruding tusks (sole facial feature),Generate a clean game enemy concept of Tusker Boar: Quadruped boar with full boar anatomy; Two protruding tusks (sole facial feature). Use Mud brown and Dirty cream. Transparent background.,MeshReady,Rush,Pressure,Core,Forest,Mud brown,Dirty cream,20
HiveWasp,HiveWasp,Hive Wasp,Medium,Forest,Flying,Flying,None,DOT,,,1,"Body: Large wasp with full insect anatomy (wings, six legs, segmented body) Face: Stinger-fang protruding from mouth area (sole facial feature)","Generate a clean game enemy concept of Hive Wasp: Large wasp with full insect anatomy (wings, six legs, segmented body); Stinger-fang protruding from mouth area (sole facial feature). Use Yellow and Black. Transparent background.",MeshReady,Flying,DodgeThreat,Core,Forest,Yellow,Black,20
TreantAncient,TreantAncient,Treant Ancient,Medium,Forest,Melee,Melee,None,DOT,,,1,"Body: Large gnarled tree creature, towering presence Face: Mouth full of teeth (sole facial feature)","Generate a clean game enemy concept of Treant Ancient: Large gnarled tree creature, towering presence; Mouth full of teeth (sole facial feature). Use Dark wood and Moss green. Transparent background.",MeshReady,Melee,Pressure,Rare,Forest,Dark wood,Moss green,20
ForestWraith,ForestWraith,Forest Wraith,Medium,Forest,Ranged,Ranged,None,DOT,,,1,"Body: Translucent fae figure, draped flowing form Face: Long protruding tongue (sole facial feature)","Generate a clean game enemy concept of Forest Wraith: Translucent fae figure, draped flowing form; Long protruding tongue (sole facial feature). Use Pale blue and Forest green. Transparent background.",MeshReady,Ranged,DodgeThreat,Rare,Forest,Pale blue,Forest green,20
SporeBomb,SporeBomb,Spore Bomb,Medium,Forest,Rush,Rush,None,DOT,,,1,"Body: Walking mushroom-sphere, bulbous cap-and-stem with stubby legs Face: Large nose (sole facial feature)","Generate a clean game enemy concept of Spore Bomb: Walking mushroom-sphere, bulbous cap-and-stem with stubby legs; Large nose (sole facial feature). Use Olive and Bruise purple. Transparent background.",MeshReady,Rush,Disruptor,Late,Forest,Olive,Bruise purple,20
VineStrangler,VineStrangler,Vine Strangler,Medium,Forest,Melee,Melee,None,DOT,,,1,"Body: Vine-mass creature, most of body trailing into ground Face: Teeth in maw-opening at head (sole facial feature)","Generate a clean game enemy concept of Vine Strangler: Vine-mass creature, most of body trailing into ground; Teeth in maw-opening at head (sole facial feature). Use Dark green and Cream. Transparent background.",MeshReady,Melee,Disruptor,Late,Forest,Dark green,Cream,20
MyconidDruid,MyconidDruid,Myconid Druid,Medium,Forest,Ranged,Ranged,None,DOT,,,1,"Body: Tall robed mushroom figure, mushroom cap as head Face: One eye on the cap face (sole facial feature)","Generate a clean game enemy concept of Myconid Druid: Tall robed mushroom figure, mushroom cap as head; One eye on the cap face (sole facial feature). Use Forest green and Bone-white. Transparent background.",MeshReady,Ranged,Specialist,Late,Forest,Forest green,Bone-white,20
CrabGuard,CrabGuard,Crab Guard,Hard,Ocean,Melee,Melee,None,DOT,,,1,"Body: Armored crab with full crab anatomy (four legs, two claws, carapace) Face: Mandible-teeth (sole facial feature)","Generate a clean game enemy concept of Crab Guard: Armored crab with full crab anatomy (four legs, two claws, carapace); Mandible-teeth (sole facial feature). Use Dark teal and Rust brown. Transparent background.",MeshReady,Melee,Pressure,Core,Ocean,Dark teal,Rust brown,20
DrownedSailor,DrownedSailor,Drowned Sailor,Hard,Ocean,Melee,Melee,None,DOT,,,1,Body: Waterlogged humanoid corpse with shredded clothing Face: One bulging eye (sole facial feature),Generate a clean game enemy concept of Drowned Sailor: Waterlogged humanoid corpse with shredded clothing; One bulging eye (sole facial feature). Use Sickly cream and Dark teal. Transparent background.,MeshReady,Melee,MowDown,Core,Ocean,Sickly cream,Dark teal,20
JellyHover,JellyHover,Jelly Hover,Hard,Ocean,Ranged,Ranged,None,DOT,,,1,Body: Floating jellyfish bell with trailing tentacles Face: Mouth on underside of bell (sole facial feature),Generate a clean game enemy concept of Jelly Hover: Floating jellyfish bell with trailing tentacles; Mouth on underside of bell (sole facial feature). Use Translucent cyan and Magenta. Transparent background.,MeshReady,Ranged,DodgeThreat,Core,Ocean,Translucent cyan,Magenta,20
ReefShark,ReefShark,Reef Shark,Hard,Ocean,Rush,Rush,None,DOT,,,1,Body: Sleek shark with rear legs for land-walking Face: Fangs (sole facial feature),Generate a clean game enemy concept of Reef Shark: Sleek shark with rear legs for land-walking; Fangs (sole facial feature). Use Grey-blue and Bone-white. Transparent background.,MeshReady,Rush,DodgeThreat,Core,Ocean,Grey-blue,Bone-white,20
GhostRay,GhostRay,Ghost Ray,Hard,Ocean,Flying,Flying,None,DOT,,,1,Body: Manta ray glider with full ray anatomy Face: One large eye on top of head (sole facial feature),Generate a clean game enemy concept of Ghost Ray: Manta ray glider with full ray anatomy; One large eye on top of head (sole facial feature). Use Dark indigo and Pale aqua. Transparent background.,MeshReady,Flying,Pressure,Core,Ocean,Dark indigo,Pale aqua,20
AnglerfishStalker,AnglerfishStalker,Anglerfish Stalker,Hard,Ocean,Melee,Melee,None,DOT,,,1,Body: Large deep-sea anglerfish with lure-rod Face: Mouth full of teeth (sole facial feature),Generate a clean game enemy concept of Anglerfish Stalker: Large deep-sea anglerfish with lure-rod; Mouth full of teeth (sole facial feature). Use Deep navy and Glow-yellow. Transparent background.,MeshReady,Melee,Pressure,Rare,Ocean,Deep navy,Glow-yellow,20
CoralMortar,CoralMortar,Coral Mortar,Hard,Ocean,Ranged,Ranged,None,DOT,,,1,"Body: Stationary coral creature, branching coral mass Face: One horn-like lure projection (sole facial feature)","Generate a clean game enemy concept of Coral Mortar: Stationary coral creature, branching coral mass; One horn-like lure projection (sole facial feature). Use Pink coral and Dark teal. Transparent background.",MeshReady,Ranged,DodgeThreat,Rare,Ocean,Pink coral,Dark teal,20
SeaMine,SeaMine,Sea Mine,Hard,Ocean,Rush,Rush,None,DOT,,,1,Body: Spiked floating sphere Face: One eye on sphere surface (sole facial feature),Generate a clean game enemy concept of Sea Mine: Spiked floating sphere; One eye on sphere surface (sole facial feature). Use Rust orange and Dark teal. Transparent background.,MeshReady,Rush,Disruptor,Late,Ocean,Rust orange,Dark teal,20
BrineStrafer,BrineStrafer,Brine Strafer,Hard,Ocean,Ranged,Ranged,None,DOT,,,1,"Body: Translucent humanoid spirit, watery flowing form Face: Long tongue (sole facial feature)","Generate a clean game enemy concept of Brine Strafer: Translucent humanoid spirit, watery flowing form; Long tongue (sole facial feature). Use Pale cyan and Bone-white. Transparent background.",MeshReady,Ranged,Disruptor,Late,Ocean,Pale cyan,Bone-white,20
DrownedPriestess,DrownedPriestess,Drowned Priestess,Hard,Ocean,Ranged,Ranged,None,DOT,,,1,Body: Robed waterlogged corpse with flowing robes Face: One eye (sole facial feature),Generate a clean game enemy concept of Drowned Priestess: Robed waterlogged corpse with flowing robes; One eye (sole facial feature). Use Dark teal and Barnacle-white. Transparent background.,MeshReady,Ranged,Specialist,Late,Ocean,Dark teal,Barnacle-white,20
DroneGrunt,DroneGrunt,Drone Grunt,VeryHard,Martian,Ranged,Ranged,None,DOT,,,1,Body: Bipedal robot drone with mechanical legs and arms Face: One large lens-eye (sole facial feature),Generate a clean game enemy concept of Drone Grunt: Bipedal robot drone with mechanical legs and arms; One large lens-eye (sole facial feature). Use Dark steel and Neon orange. Transparent background.,MeshReady,Ranged,DodgeThreat,Core,Martian,Dark steel,Neon orange,20
CrystalCrawler,CrystalCrawler,Crystal Crawler,VeryHard,Martian,Melee,Melee,None,DOT,,,1,Body: Geometric multi-legged crystal beast with faceted body Face: One crystal horn (sole facial feature),Generate a clean game enemy concept of Crystal Crawler: Geometric multi-legged crystal beast with faceted body; One crystal horn (sole facial feature). Use Magenta crystal and Black. Transparent background.,MeshReady,Melee,Pressure,Core,Martian,Magenta crystal,Black,20
PlasmaSpitter,PlasmaSpitter,Plasma Spitter,VeryHard,Martian,Ranged,Ranged,None,DOT,,,1,Body: Squat alien creature with stumpy legs Face: Wide mouth (sole facial feature),Generate a clean game enemy concept of Plasma Spitter: Squat alien creature with stumpy legs; Wide mouth (sole facial feature). Use Acid green and Black. Transparent background.,MeshReady,Ranged,DodgeThreat,Core,Martian,Acid green,Black,20
RocketLeaper,RocketLeaper,Rocket Leaper,VeryHard,Martian,Rush,Rush,None,DOT,,,1,Body: Insectoid with rocket thrusters on back Face: Mandibles (sole facial feature),Generate a clean game enemy concept of Rocket Leaper: Insectoid with rocket thrusters on back; Mandibles (sole facial feature). Use Orange-red and Black. Transparent background.,MeshReady,Rush,MowDown,Core,Martian,Orange-red,Black,20
SaucerDrone,SaucerDrone,Saucer Drone,VeryHard,Martian,Flying,Flying,None,DOT,,,1,Body: Disc-shaped UFO with mechanical detailing Face: One eye on underside center (sole facial feature),Generate a clean game enemy concept of Saucer Drone: Disc-shaped UFO with mechanical detailing; One eye on underside center (sole facial feature). Use Chrome silver and Cyan. Transparent background.,MeshReady,Flying,DodgeThreat,Core,Martian,Chrome silver,Cyan,20
PlasmaSentinel,PlasmaSentinel,Plasma Sentinel,VeryHard,Martian,Ranged,Ranged,None,DOT,,,1,"Body: Tall obelisk-creature, stationary monolithic form Face: One giant glowing eye (sole facial feature)","Generate a clean game enemy concept of Plasma Sentinel: Tall obelisk-creature, stationary monolithic form; One giant glowing eye (sole facial feature). Use Deep purple and Neon green. Transparent background.",MeshReady,Ranged,Pressure,Rare,Martian,Deep purple,Neon green,20
MindSlug,MindSlug,Mind Slug,VeryHard,Martian,Melee,Melee,None,DOT,,,1,Body: Floating brain-thing with stubby tentacle limbs Face: One eye on brain surface (sole facial feature),Generate a clean game enemy concept of Mind Slug: Floating brain-thing with stubby tentacle limbs; One eye on brain surface (sole facial feature). Use Sickly pink and Purple. Transparent background.,MeshReady,Melee,Disruptor,Rare,Martian,Sickly pink,Purple,20
CrystalBomber,CrystalBomber,Crystal Bomber,VeryHard,Martian,Rush,Rush,None,DOT,,,1,Body: Crystalline arachnid with 8 legs and faceted body Face: Mouth (sole facial feature),Generate a clean game enemy concept of Crystal Bomber: Crystalline arachnid with 8 legs and faceted body; Mouth (sole facial feature). Use Magenta and Bone-white. Transparent background.,MeshReady,Rush,Disruptor,Late,Martian,Magenta,Bone-white,20
SandTunneler,SandTunneler,Sand Tunneler,VeryHard,Martian,Melee,Melee,None,DOT,,,1,"Body: Worm-like creature, segmented tubular body Face: Concentric ring of teeth (sole facial feature)","Generate a clean game enemy concept of Sand Tunneler: Worm-like creature, segmented tubular body; Concentric ring of teeth (sole facial feature). Use Dust orange and Dark brown. Transparent background.",MeshReady,Melee,Disruptor,Late,Martian,Dust orange,Dark brown,20
CyberLich,CyberLich,Cyber Lich,VeryHard,Martian,Ranged,Ranged,None,DOT,,,1,Body: Robed alien skeleton with cybernetic implants Face: One cybernetic eye (sole facial feature),Generate a clean game enemy concept of Cyber Lich: Robed alien skeleton with cybernetic implants; One cybernetic eye (sole facial feature). Use Dark steel and Acid green. Transparent background.,MeshReady,Ranged,Specialist,Late,Martian,Dark steel,Acid green,20
PitImp,PitImp,Pit Imp,Impossible,Hell,Rush,Rush,None,DOT,,,1,Body: Small demon with full demon anatomy Face: One horn (sole facial feature),Generate a clean game enemy concept of Pit Imp: Small demon with full demon anatomy; One horn (sole facial feature). Use Blood red and Black. Transparent background.,MeshReady,Rush,MowDown,Core,Hell,Blood red,Black,20
BoneKnight,BoneKnight,Bone Knight,Impossible,Hell,Melee,Melee,None,DOT,,,1,Body: Armored undead warrior in full plate with weapon Face: One eye visible in helm slit (sole facial feature),Generate a clean game enemy concept of Bone Knight: Armored undead warrior in full plate with weapon; One eye visible in helm slit (sole facial feature). Use Bone-white and Crimson. Transparent background.,MeshReady,Melee,Pressure,Core,Hell,Bone-white,Crimson,20
FireSkull,FireSkull,Fire Skull,Impossible,Hell,Flying,Flying,None,DOT,,,1,"Body: Floating flaming skull, head IS the creature Face: Mouth full of teeth (sole facial feature)","Generate a clean game enemy concept of Fire Skull: Floating flaming skull, head IS the creature; Mouth full of teeth (sole facial feature). Use Charred black and Flame orange. Transparent background.",MeshReady,Flying,DodgeThreat,Core,Hell,Charred black,Flame orange,20
Hellhound,Hellhound,Hellhound,Impossible,Hell,Rush,Rush,None,DOT,,,1,Body: Quadruped demon dog with full canine anatomy Face: Fangs (sole facial feature),Generate a clean game enemy concept of Hellhound: Quadruped demon dog with full canine anatomy; Fangs (sole facial feature). Use Blood red and Black. Transparent background.,MeshReady,Rush,Pressure,Core,Hell,Blood red,Black,20
Gargoyle,Gargoyle,Gargoyle,Impossible,Hell,Flying,Flying,None,DOT,,,1,Body: Stone-statue winged demon with wings and limbs Face: One horn (sole facial feature),Generate a clean game enemy concept of Gargoyle: Stone-statue winged demon with wings and limbs; One horn (sole facial feature). Use Grey stone and Magma orange. Transparent background.,MeshReady,Flying,Pressure,Core,Hell,Grey stone,Magma orange,20
DemonSentinel,DemonSentinel,Demon Sentinel,Impossible,Hell,Melee,Melee,None,DOT,,,1,Body: Towering demon figure with horns and body Face: One massive central eye (sole facial feature),Generate a clean game enemy concept of Demon Sentinel: Towering demon figure with horns and body; One massive central eye (sole facial feature). Use Deep crimson and Black. Transparent background.,MeshReady,Melee,Pressure,Rare,Hell,Deep crimson,Black,20
BrimstoneMortar,BrimstoneMortar,Brimstone Mortar,Impossible,Hell,Ranged,Ranged,None,DOT,,,1,"Body: Squat demonic cannon-creature, stationary Face: Wide mouth (cannon barrel) (sole facial feature)","Generate a clean game enemy concept of Brimstone Mortar: Squat demonic cannon-creature, stationary; Wide mouth (cannon barrel) (sole facial feature). Use Charred black and Magma orange. Transparent background.",MeshReady,Ranged,DodgeThreat,Rare,Hell,Charred black,Magma orange,20
SinEater,SinEater,Sin Eater,Impossible,Hell,Rush,Rush,None,DOT,,,1,Body: Bloated demon with distended belly and short limbs Face: Long protruding tongue (sole facial feature),Generate a clean game enemy concept of Sin Eater: Bloated demon with distended belly and short limbs; Long protruding tongue (sole facial feature). Use Sickly pink and Crimson. Transparent background.,MeshReady,Rush,Disruptor,Late,Hell,Sickly pink,Crimson,20
PlagueCultist,PlagueCultist,Plague Cultist,Impossible,Hell,Ranged,Ranged,None,DOT,,,1,"Body: Robed cultist figure, full humanoid under robes Face: One eye visible under hood (sole facial feature)","Generate a clean game enemy concept of Plague Cultist: Robed cultist figure, full humanoid under robes; One eye visible under hood (sole facial feature). Use Dark crimson and Bone-white. Transparent background.",MeshReady,Ranged,Specialist,Late,Hell,Dark crimson,Bone-white,20
HellWyrm,HellWyrm,Hell Wyrm,Impossible,Hell,Melee,Melee,None,DOT,,,1,"Body: Worm-like demon, segmented tubular body Face: Concentric ring of teeth (sole facial feature)","Generate a clean game enemy concept of Hell Wyrm: Worm-like demon, segmented tubular body; Concentric ring of teeth (sole facial feature). Use Blood red and Black. Transparent background.",MeshReady,Melee,Disruptor,Late,Hell,Blood red,Black,20
CursedCrow,CursedCrow,Cursed Crow,Easy,Dungeon,Flying,Flying,None,DOT,,,1,"Body: Ragged crow with full bird anatomy (wings, talons, body) Face: Single glowing eye (sole facial feature)","Generate a clean game enemy concept of Cursed Crow: Ragged crow with full bird anatomy (wings, talons, body); Single glowing eye (sole facial feature). Use Oily black and Sickly green. Transparent background.",MeshReady,Flying,Pressure,Core,Dungeon,Oily black,Sickly green,20
FamishedGhoul,FamishedGhoul,Famished Ghoul,Easy,Dungeon,Rush,Rush,None,DOT,,,1,"Body: Gaunt humanoid ghoul, emaciated limbs and hunched frame Face: Gaping hungry mouth (sole facial feature)","Generate a clean game enemy concept of Famished Ghoul: Gaunt humanoid ghoul, emaciated limbs and hunched frame; Gaping hungry mouth (sole facial feature). Use Grey-green and Bone-white. Transparent background.",MeshReady,Rush,MowDown,Core,Dungeon,Grey-green,Bone-white,20
WillOWisp,WillOWisp,Will-o-Wisp,Medium,Forest,Flying,Flying,None,DOT,,,1,Body: Floating orb of marsh light with wispy trailing tail Face: Single flickering eye (sole facial feature),Generate a clean game enemy concept of Will-o-Wisp: Floating orb of marsh light with wispy trailing tail; Single flickering eye (sole facial feature). Use Pale teal and Glow-white. Transparent background.,Placeholder,Flying,DodgeThreat,Core,Forest,Pale teal,Glow-white,20
GoreStag,GoreStag,Gore Stag,Medium,Forest,Rush,Rush,None,DOT,,,1,Body: Quadruped stag with full deer anatomy and jagged antlers Face: Two bloodied antler-tines (sole facial feature),Generate a clean game enemy concept of Gore Stag: Quadruped stag with full deer anatomy and jagged antlers; Two bloodied antler-tines (sole facial feature). Use Dark brown and Blood red. Transparent background.,Placeholder,Rush,Pressure,Core,Forest,Dark brown,Blood red,20
GullDiver,GullDiver,Gull Diver,Hard,Ocean,Flying,Flying,None,DOT,,,1,"Body: Seabird with full gull anatomy (wings, webbed feet, body) Face: Sharp hooked beak (sole facial feature)","Generate a clean game enemy concept of Gull Diver: Seabird with full gull anatomy (wings, webbed feet, body); Sharp hooked beak (sole facial feature). Use Salt white and Storm grey. Transparent background.",Placeholder,Flying,Pressure,Core,Ocean,Salt white,Storm grey,20
Hammerjaw,Hammerjaw,Hammerjaw,Hard,Ocean,Melee,Melee,None,DOT,,,1,Body: Hulking hammerhead-shark brute with stubby walking limbs Face: Wide tooth-lined jaw (sole facial feature),Generate a clean game enemy concept of Hammerjaw: Hulking hammerhead-shark brute with stubby walking limbs; Wide tooth-lined jaw (sole facial feature). Use Steel blue and Bone-white. Transparent background.,Placeholder,Melee,Pressure,Core,Ocean,Steel blue,Bone-white,20
ReconOrb,ReconOrb,Recon Orb,VeryHard,Martian,Flying,Flying,None,DOT,,,1,Body: Hovering spherical probe-drone with antenna fins Face: One scanning lens-eye (sole facial feature),Generate a clean game enemy concept of Recon Orb: Hovering spherical probe-drone with antenna fins; One scanning lens-eye (sole facial feature). Use Chrome silver and Red lens. Transparent background.,Placeholder,Flying,DodgeThreat,Core,Martian,Chrome silver,Red lens,20
CarapaceBrute,CarapaceBrute,Carapace Brute,VeryHard,Martian,Melee,Melee,None,DOT,,,1,Body: Heavy crystalline brute with armored faceted carapace and thick limbs Face: One embedded crystal eye (sole facial feature),Generate a clean game enemy concept of Carapace Brute: Heavy crystalline brute with armored faceted carapace and thick limbs; One embedded crystal eye (sole facial feature). Use Magenta crystal and Dark steel. Transparent background.,Placeholder,Melee,Pressure,Core,Martian,Magenta crystal,Dark steel,20
CinderWraith,CinderWraith,Cinder Wraith,Impossible,Hell,Flying,Flying,None,DOT,,,1,Body: Floating ashen specter wreathed in drifting embers Face: Ragged burning mouth (sole facial feature),Generate a clean game enemy concept of Cinder Wraith: Floating ashen specter wreathed in drifting embers; Ragged burning mouth (sole facial feature). Use Charred black and Ember orange. Transparent background.,Placeholder,Flying,DodgeThreat,Core,Hell,Charred black,Ember orange,20
BrimstoneBrute,BrimstoneBrute,Brimstone Brute,Impossible,Hell,Melee,Melee,None,DOT,,,1,Body: Hulking horned demon brute with molten-cracked hide and massive fists Face: One burning eye (sole facial feature),Generate a clean game enemy concept of Brimstone Brute: Hulking horned demon brute with molten-cracked hide and massive fists; One burning eye (sole facial feature). Use Deep crimson and Magma orange. Transparent background.,Placeholder,Melee,Pressure,Core,Hell,Deep crimson,Magma orange,20
